id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
68900,343250,Brooklyn,Greenpoint,40.73094,-73.95484,Private room,100,30,7,1,249,0
149287,720320,Manhattan,Upper East Side,40.78422,-73.95133,Entire home/apt,250,30,0,1,0,0
68974,281229,Manhattan,Nolita,40.72,-73.99487,Entire home/apt,596,2,234,1,65,11
69894,352168,Manhattan,Upper West Side,40.77845,-73.98295,Entire home/apt,160,30,59,1,5,3
42300,184755,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,671,5,71,1,261,8
42729,11481,Brooklyn,Carroll Gardens,40.67813,-74.00062,Entire home/apt,203,4,188,3,344,18
42882,185978,Staten Island,St. George,40.64633,-74.08156,Private room,70,5,178,1,265,2
149787,722242,Manhattan,Harlem,40.81862,-73.94518,Entire home/apt,100,30,0,1,0,0
43105,188082,Manhattan,Midtown,40.7449,-73.98499,Entire home/apt,185,30,4,1,219,0
44229,181376,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110,30,231,2,365,0
44973,198411,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,98,30,126,1,112,3
71010,361855,Manhattan,Washington Heights,40.83403,-73.93951,Entire home/apt,332,4,36,2,305,1
71248,363834,Manhattan,Chinatown,40.7159,-73.99156,Entire home/apt,155,28,58,2,64,4
150804,726333,Manhattan,Lower East Side,40.7203,-73.98424,Entire home/apt,250,4,38,1,36,5
71366,364955,Manhattan,Greenwich Village,40.72997,-74.00196,Entire home/apt,225,30,44,1,341,1
45542,202249,Manhattan,Harlem,40.82569,-73.93842,Entire home/apt,100,30,18,1,0,0
45556,67778,Brooklyn,Fort Greene,40.68834,-73.97578,Private room,65,2,339,3,118,59
150989,727084,Brooklyn,Williamsburg,40.71584,-73.96355,Entire home/apt,140,30,19,1,0,1
71384,365153,Brooklyn,Greenpoint,40.72919,-73.95588,Entire home/apt,229,1,50,1,0,0
151199,722320,Queens,Astoria,40.75684,-73.91286,Entire home/apt,151,2,507,1,252,38
169483,807642,Brooklyn,Gravesend,40.60602,-73.97076,Entire home/apt,184,7,0,2,0,0
152071,731855,Brooklyn,Park Slope,40.67231,-73.97878,Entire home/apt,150,2,0,1,0,0
71812,369015,Bronx,Kingsbridge,40.87069,-73.90113,Entire home/apt,90,30,15,2,249,5
152263,732535,Manhattan,Harlem,40.80494,-73.94998,Entire home/apt,350,2,299,3,278,40
72190,373085,Manhattan,Upper West Side,40.77743,-73.97691,Entire home/apt,110,30,37,1,0,0
170420,812814,Manhattan,East Harlem,40.79179,-73.93972,Entire home/apt,79,30,15,1,0,0
170761,67778,Brooklyn,Fort Greene,40.68876,-73.97758,Private room,85,2,113,3,121,41
153780,739499,Manhattan,East Village,40.72752,-73.98581,Private room,175,3,211,1,231,22
72265,340692,Brooklyn,Greenpoint,40.72744,-73.953,Private room,85,5,35,1,0,1
74333,331328,Manhattan,East Harlem,40.80834,-73.94075,Entire home/apt,120,30,38,2,286,2
154934,745069,Manhattan,Harlem,40.8241,-73.94415,Private room,75,30,38,2,341,0
74438,391553,Manhattan,Hell's Kitchen,40.75523,-73.99792,Entire home/apt,299,30,52,1,218,0
74680,265109,Queens,Astoria,40.77507,-73.93367,Entire home/apt,119,7,237,1,301,12
157673,757166,Brooklyn,Bedford-Stuyvesant,40.68096,-73.94062,Entire home/apt,65,30,92,1,235,0
171562,60923,Manhattan,Chelsea,40.74937,-73.99467,Entire home/apt,240,60,26,1,2,6
158061,758441,Brooklyn,Bedford-Stuyvesant,40.68511,-73.91927,Private room,165,30,27,4,365,0
159749,54275,Brooklyn,Bedford-Stuyvesant,40.68048,-73.93938,Private room,81,2,76,3,2,0
159815,54275,Brooklyn,Bedford-Stuyvesant,40.68048,-73.93938,Private room,70,1,59,3,1,7
159913,759883,Manhattan,Chelsea,40.74389,-74.00068,Private room,150,30,27,2,218,0
171978,820011,Brooklyn,Crown Heights,40.66946,-73.94638,Entire home/apt,94,7,8,2,286,0
74821,394640,Manhattan,Harlem,40.80874,-73.94926,Entire home/apt,149,30,47,1,90,0
74860,394752,Brooklyn,Greenpoint,40.72364,-73.95013,Entire home/apt,75,30,3,1,0,0
162493,776490,Brooklyn,Williamsburg,40.71174,-73.95798,Entire home/apt,582,6,47,1,119,4
75635,401696,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,175,3,350,1,245,28
77517,415660,Brooklyn,Williamsburg,40.71407,-73.96657,Private room,100,28,3,3,336,0
173151,826459,Brooklyn,Greenpoint,40.72852,-73.95655,Private room,78,30,262,1,23,0
174966,836168,Manhattan,Upper West Side,40.7751,-73.98595,Entire home/apt,2500,30,26,11,364,0
162508,776645,Brooklyn,Crown Heights,40.67188,-73.95097,Entire home/apt,130,30,28,1,0,0
175470,838704,Manhattan,Upper West Side,40.80244,-73.96541,Entire home/apt,187,31,5,2,365,0
242643,1273825,Brooklyn,Williamsburg,40.70652,-73.93991,Entire home/apt,146,2,49,1,308,7
244649,1283659,Manhattan,Upper West Side,40.79824,-73.96863,Private room,50,2,0,1,0,0
163814,627217,Manhattan,East Village,40.72641,-73.98711,Entire home/apt,179,2,411,3,266,49
166006,791287,Manhattan,Upper West Side,40.79864,-73.96209,Entire home/apt,250,31,191,1,85,2
245544,1260921,Bronx,Kingsbridge,40.8666,-73.90061,Private room,49,3,114,2,257,2
177495,848960,Manhattan,Chelsea,40.74088,-73.99538,Entire home/apt,550,30,5,1,0,0
177606,849492,Manhattan,Kips Bay,40.74045,-73.9749,Private room,189,10,115,1,314,8
166172,792159,Brooklyn,Bushwick,40.68478,-73.9066,Private room,55,30,62,1,0,0
179670,21475,Manhattan,East Village,40.72113,-73.98213,Private room,175,3,127,1,62,10
179741,314941,Manhattan,Nolita,40.72212,-73.99638,Entire home/apt,399,1,19,2,234,1
